#,"Score,Â ðŸ”½",Name,API Version,Package,Access,Is Abstract?,Type,Implements,Size,Methods,Inner Classes,Annotations,Sharing,Coverage,Related Tests,Using,Referenced in,Dependencies,Created date,Modified date
,,,,,,,,,,,,,,,,,,,,
1,3,PaymentTriggerHandler,48,,public,false,Class,,847,3,0,,Not specified,0,,2,Not used!,Dependencies,2020-07-20T15:45:28.000+0000,2020-07-20T15:45:28.000+0000
2,3,PaymentAmountProcessorBatch,55,,public,false,Class,"Database.Batchable,Database.Stateful",1376,3,0,,Not specified,0,,3,Not used!,Dependencies,2022-06-21T10:28:48.000+0000,2022-07-22T12:34:48.000+0000
3,2,CS_PaymentCreationController,48,,public,false,Class,,5715,5,0,,Not specified,0,,35,2,Dependencies,2020-07-20T15:45:27.000+0000,2023-08-21T10:22:50.000+0000
4,2,PaymentCreationService,48,,public,false,Class,,21564,16,0,,Not specified,0.2,Renewals_OpportunityCloneTest,47,5,Dependencies,2020-07-20T15:45:27.000+0000,2023-12-01T11:32:05.000+0000
5,2,PaymentScheduleEmailUtil,58,,public,false,Class,,10795,8,1,,Not specified,0,,18,21,Dependencies,2020-07-20T15:45:27.000+0000,2024-02-22T10:21:08.000+0000
6,2,PaymentTriggerService,48,,public,false,Class,,2681,1,0,,Not specified,0,,14,1,Dependencies,2020-07-20T15:45:28.000+0000,2020-12-14T12:16:35.000+0000
7,2,ReferencingUtil,48,,public,false,Class,,8028,6,0,,Not specified,0,PaymentScheduleEmailUtilTest,29,5,Dependencies,2020-07-20T15:45:28.000+0000,2022-02-14T12:30:28.000+0000
8,2,ReferencingUtilAddApplicants,48,,public,false,Class,,5349,2,0,,Not specified,0,,34,8,Dependencies,2020-07-20T15:45:28.000+0000,2024-03-14T11:57:12.000+0000
9,2,ReferencingUtilCancelApplicant,48,,public,false,Class,,3159,2,0,,Not specified,0,,29,8,Dependencies,2020-07-20T15:45:28.000+0000,2024-03-14T11:57:12.000+0000
10,2,ReferencingUtilCancelOrder,48,,public,false,Class,,3547,2,1,,Not specified,0,,30,10,Dependencies,2020-07-20T15:45:28.000+0000,2024-06-13T12:40:54.000+0000
11,2,ReferencingUtilNewOrder,48,,public,false,Class,,5743,3,0,,Not specified,0,,46,29,Dependencies,2020-07-20T15:45:28.000+0000,2024-03-14T11:57:12.000+0000
12,2,AuthorizeDeduplicationBatch,51,,global,false,Class,Database.Batchable,1742,3,0,,Not specified,0,,3,2,Dependencies,2021-06-11T14:07:05.000+0000,2021-06-11T14:07:05.000+0000
13,2,AuthorizeDeduplicationBatchShceduler,51,,global,false,Class,System.Schedulable,497,2,0,,Not specified,0,,1,1,Dependencies,2021-06-11T14:07:05.000+0000,2021-06-11T14:07:05.000+0000
14,2,ListingTestDataFactory,52,,public,false,Class,,9543,15,0,,Not specified,0.18128654970760233,"MediaLinksHelperTest,AVM_UnitTriggerHandlerTest",49,23,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
15,2,PriceBookEntryBatch,52,,public,false,Class,"Database.Batchable,Database.AllowsCallouts",1814,3,0,,Not specified,0.8461538461538461,"PriceBookEntrySchedulerTest,PriceBookEntryBatchTest",11,2,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
16,2,RightmoveLeadEmailProcessor,52,,global,false,Class,Messaging.InboundEmailHandler,14797,7,1,,Not specified,0,,19,1,Dependencies,2021-07-19T18:04:21.000+0000,2022-06-07T09:41:45.000+0000
17,2,RightmoveListingRequest,51,,public,false,Class,,17589,7,14,,Not specified,0,,5,4,Dependencies,2021-07-19T18:04:21.000+0000,2023-09-05T12:53:38.000+0000
18,2,CommunitiesSelfRegController,54,,public,false,Class,,2269,2,0,,Not specified,0.7619047619047619,CommunitiesSelfRegControllerTest,3,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
19,2,MicrobatchSelfRegController,54,,public,false,Class,,1779,1,0,,Not specified,0.8,MicrobatchSelfRegControllerTest,7,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
20,2,MonthlyPriceRecalculationBatch,55,,global,false,Class,"Database.Batchable,Database.Stateful",4468,3,0,,Not specified,0,,17,2,Dependencies,2022-11-03T15:08:58.000+0000,2022-11-14T20:28:34.000+0000
21,2,ScheduleMonthlyPriceRecalculationBatch,55,,global,false,Class,System.Schedulable,283,1,0,,Not specified,0,,1,1,Dependencies,2022-11-03T15:08:58.000+0000,2022-11-14T20:28:35.000+0000
22,2,CS_PaymentTriggerHandler,55,,public,false,Class,,1824,2,0,,Not specified,0,,7,2,Dependencies,2023-01-25T16:37:44.000+0000,2023-08-21T10:22:50.000+0000
23,2,AbstractTimelineDataProvider,54,,global,false,Class,ITimelineDataProvider,827,11,0,,Not specified,0,,2,3,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
24,2,ApexDescribeUtils,54,,global,false,Class,,5671,3,2,,Not specified,0,,4,5,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
25,2,ObjectNote,54,,public,false,Class,,785,0,0,,Not specified,0,,,1,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
26,2,SampleInvoiceMockImpl,54,,global,false,Class,System.HttpCalloutMock,1077,1,0,,Not specified,0,,,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
27,2,TaskUtils,54,,global,false,Class,,7320,7,3,,Not specified,0,,9,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
28,2,TimelineFieldType,54,,global,false,Class,,963,2,0,,Not specified,0,,,5,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
29,2,TimelineQuickActionPicklist,57,,global,false,Class,,580,3,0,,Not specified,0,,1,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
30,2,TimelineQuickActionPicklistLogACall,58,,global,false,Class,,598,3,0,,Not specified,0,,1,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
31,2,TimelineQuickActionPicklistSendEmail,58,,global,false,Class,,601,3,0,,Not specified,0,,1,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
32,2,TimelineQuickActionPicklistUtil,58,,public,false,Class,,928,1,0,,Not specified,0,,,3,Dependencies,2024-01-17T05:53:57.000+0000,2024-01-17T05:53:57.000+0000
33,2,GDPR_AnonymizationDateProcessor,59,,public,false,Class,GDPR_Anonymizatable,3540,3,0,,without,0,,9,Not used!,Dependencies,2024-05-28T13:17:06.000+0000,2024-07-18T10:38:28.000+0000
34,2,GDPR_FieldHistoryRemover,59,,public,false,Class,GDPR_Anonymizatable,2102,3,0,,without,0,,6,Not used!,Dependencies,2024-05-30T13:39:49.000+0000,2024-06-18T07:29:51.000+0000
35,1,MultipicklistOption,48,,public,false,Class,,292,1,0,,Not specified,1,MultipicklistOptionTest,,3,Dependencies,2020-07-20T15:45:27.000+0000,2020-07-20T15:45:27.000+0000
36,1,OpportunityTriggerHandler,48,,public,false,Class,,8420,7,0,,with,0.10909090909090909,Renewals_OpportunityCloneTest,20,2,Dependencies,2020-07-20T15:45:27.000+0000,2020-07-20T15:45:27.000+0000
37,1,PaymentScheduleVFController,48,,public,false,Class,,1553,0,0,,Not specified,1,PaymentScheduleVFControllerTest,33,2,Dependencies,2020-07-20T15:45:27.000+0000,2020-12-14T12:16:35.000+0000
38,1,QuoteTriggerHandler,48,,public,false,Class,,4716,5,0,,with,0.375,Renewals_OpportunityCloneTest,10,3,Dependencies,2020-07-20T15:45:28.000+0000,2020-07-20T15:45:28.000+0000
39,1,TenancyPaymentScheduleUtil,48,,public,false,Class,,4536,1,0,,Not specified,0.9459459459459459,Renewals_OpportunityCloneTest,37,24,Dependencies,2020-07-20T15:45:28.000+0000,2021-02-09T15:35:38.000+0000
40,1,UnitSearchController,48,,public,false,Class,,18993,11,3,,with,0,,28,2,Dependencies,2020-07-20T15:45:28.000+0000,2024-02-22T10:21:09.000+0000
41,1,VMTrackingScreenController,48,,public,false,Class,,835,1,0,,Not specified,1,VMTrackingScreenControllerTest,9,2,Dependencies,2020-07-20T15:45:28.000+0000,2020-12-14T12:16:36.000+0000
42,1,ContentVersionTriggerHandler,52,,public,false,Class,,1878,2,0,,with,No data,MediaLinksHelperTest,3,3,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
43,1,HttpHelper,52,,public,false,Class,,3566,6,2,,Not specified,0.9302325581395349,MediaLinksHelperTest,,5,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
44,1,ListingController,52,,public,false,Class,,4763,5,1,,with,0,,8,2,Dependencies,2021-07-19T18:04:21.000+0000,2022-07-07T15:36:49.000+0000
45,1,MediaController,51,,public,false,Class,,1569,3,0,,with,0.8260869565217391,MediaControllerTest,2,2,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
46,1,MediaLinksHelper,51,,public,false,Class,"System.Queueable,Database.AllowsCallouts",13394,7,0,,Not specified,0.8931297709923665,MediaLinksHelperTest,37,2,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
47,1,PriceBookEntryScheduler,52,,global,false,Class,System.Schedulable,215,1,0,,Not specified,1,PriceBookEntrySchedulerTest,1,1,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
48,1,AccountUpdateQueueable,52,,public,false,Class,System.Queueable,2305,2,1,,Not specified,1,"AccountContactUpdateQueueableTest,Renewals_OpportunityCloneTest",9,5,Dependencies,2021-07-28T16:01:58.000+0000,2021-07-28T16:01:58.000+0000
49,1,ContactUpdateQueueable,52,,public,false,Class,System.Queueable,2205,1,0,,Not specified,0.95,AccountContactUpdateQueueableTest,13,2,Dependencies,2021-07-28T16:01:58.000+0000,2021-07-28T16:01:58.000+0000
50,1,SiteRegisterController,54,,public,false,Class,,1524,2,0,,with,0.8148148148148148,SiteRegisterControllerTest,3,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
51,1,Renewals_OpportunityClone,57,,public,false,Class,"Database.Batchable,Database.Stateful",7804,4,2,,with,0,,27,3,Dependencies,2023-08-29T08:10:00.000+0000,2024-07-09T11:47:11.000+0000
52,1,Renewals_OpportunityCloneScheduler,57,,global,false,Class,System.Schedulable,251,1,0,,with,0,,1,2,Dependencies,2023-08-29T08:10:00.000+0000,2023-08-29T08:10:00.000+0000
53,1,AddChildObjectToConfigController,54,,public,false,Class,,1988,4,0,,with,0,,4,5,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
54,1,EoT_Constants,58,,public,false,Class,,841,0,0,,with,No data,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",,6,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
55,1,EoT_CreateTemplateData,58,,public,false,Class,,30228,2,0,,with,0.5031185031185031,EoT_CreateTemplateDataTest,16,7,Dependencies,2024-01-17T05:53:55.000+0000,2024-04-25T07:35:31.000+0000
56,1,EoT_EndofTenancyTaskTriggerHandler,58,,public,false,Class,,14979,6,0,,with,0.816,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",36,2,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
57,1,EoT_EndofTenancyTriggerHandler,58,,public,false,Class,,12733,6,0,,with,0.7686567164179104,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",32,4,Dependencies,2024-01-17T05:53:55.000+0000,2024-04-12T07:26:40.000+0000
58,1,LC_VisualforceDomainController,54,,public,false,Class,,506,2,0,,with,0,,1,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
59,1,RecordTimelineDataProvider,54,,public,false,Class,,13960,7,0,,with,0,,37,4,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
60,1,SampleApexDataProvider,54,,global,false,Class,,3226,11,0,SuppressWarnings,with,0,,5,1,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
61,1,SearchApexClasses,54,,public,false,Class,,1026,1,0,,with,0,,4,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
62,1,TimelineDataResponse,54,,public,false,Class,,1602,1,1,,with,0,,3,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
63,1,TimelineDiagnosticController,54,,public,false,Class,,2378,3,1,,with,0,,21,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
64,1,TimelineSOQLUtils,54,,public,false,Class,,6838,2,0,,with,0,,15,2,Dependencies,2024-01-17T05:53:57.000+0000,2024-01-17T05:53:57.000+0000
65,1,VerifyApexProvider,54,,public,false,Class,,6245,2,2,,with,0,,1,2,Dependencies,2024-01-17T05:53:57.000+0000,2024-01-17T05:53:57.000+0000
66,1,ReferencingUtilHLAuthProviderMock,56,,public,false,Class,System.HttpCalloutMock,343,1,0,,with,0,,,1,Dependencies,2024-03-14T11:57:12.000+0000,2024-03-14T11:57:12.000+0000
67,1,ReferencingUtilHLCalloutAsync,56,,public,false,Class,"System.Queueable,Database.AllowsCallouts",11517,6,1,,with,0,,18,8,Dependencies,2024-03-14T11:57:12.000+0000,2024-03-14T11:57:12.000+0000
68,1,ReferencingUtilHLConstants,56,,public,false,Class,,1953,0,0,,with,0,,6,16,Dependencies,2024-03-14T11:57:12.000+0000,2024-06-21T07:07:39.000+0000
69,1,AVM_Util,60,,public,false,Class,,720,1,0,,Not specified,1,AVM_UtilTest,2,23,Dependencies,2024-04-08T13:47:57.000+0000,2024-04-08T14:02:05.000+0000
70,1,GDPR_SchemaUtils,59,,public,false,Class,,372,1,0,,with,0,,,3,Dependencies,2024-05-23T04:48:28.000+0000,2024-05-23T04:48:28.000+0000
71,1,GDPR_EmailUtils,59,,public,false,Class,,1111,1,0,,with,0,,,2,Dependencies,2024-05-23T04:49:49.000+0000,2024-06-18T07:29:19.000+0000
72,1,GDPR_BaseAnonymizator,59,,public,false,Class,GDPR_Anonymizatable,8726,6,0,,without,0,,7,1,Dependencies,2024-05-23T05:43:14.000+0000,2024-06-18T11:44:01.000+0000
73,1,GDPR_AnonymizationService,59,,public,false,Class,,2401,1,2,,with,0,,12,4,Dependencies,2024-05-28T09:36:00.000+0000,2024-06-17T11:08:58.000+0000
74,1,GDPR_AnonymizationBatch,59,,public,false,Class,"Database.Batchable,Database.Stateful,System.Schedulable",2894,5,0,,without,0,,6,5,Dependencies,2024-05-28T09:49:30.000+0000,2024-06-18T11:52:33.000+0000
75,1,GDPR_PersonAccountFieldHistoryRemover,59,,public,false,Class,GDPR_Anonymizatable,3518,3,0,,without,0,,7,1,Dependencies,2024-06-05T10:55:25.000+0000,2024-06-18T11:45:51.000+0000
76,,Constants,48,,public,false,Class,,2363,0,0,,with,1,"MediaLinksHelperTest,AVM_UnitTriggerHandlerTest,Renewals_OpportunityCloneTest",,51,Dependencies,2020-07-20T15:45:27.000+0000,2021-07-19T18:04:20.000+0000
77,,EmailHandler,48,,public,false,Class,,7996,5,1,,with,0.8717948717948718,EmailHandlerTest,21,31,Dependencies,2020-07-20T15:45:27.000+0000,2021-09-15T19:25:28.000+0000
78,,EmailHandlerForEmailFieldRecipient,51,,public,false,Class,,3268,3,1,,with,0.918918918918919,EmailHandlerForEmailFieldRecipientTest,6,1,Dependencies,2021-04-20T09:12:28.000+0000,2021-04-20T09:12:28.000+0000
79,,ListingsHelper,52,,public,false,Class,,13603,9,3,,with,0.9466666666666667,"RightmoveListingProcessorTest,ListingsHelperTest,ListingsHelperInvokableUpsertTest,ListingsHelperInvokableRemoveTest,ListingControllerTest,RightmoveListingRequestTest",39,15,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
80,,ListingsHelperInvokableRightmoveRemove,52,,public,false,Class,,410,1,0,,with,1,"ListingsHelperInvokableRemoveTest,ListingControllerTest",1,5,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
81,,ListingsHelperInvokableRightmoveUpsert,52,,public,false,Class,,628,2,0,,with,1,"ListingsHelperInvokableUpsertTest,ListingsHelperInvokableRemoveTest,ListingControllerTest",3,4,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
82,,RightmoveListingProcessor,51,,public,false,Class,,9627,5,0,,with,0.9345794392523364,"RightmoveListingProcessorTest,ListingsHelperTest,ListingsHelperInvokableUpsertTest,ListingsHelperInvokableRemoveTest,ListingControllerTest,RightmoveListingRequestTest",19,9,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
83,,SiteLoginController,54,,global,false,Class,,352,1,0,,with,1,SiteLoginControllerTest,,4,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
84,,ChangePasswordController,54,,public,false,Class,,376,1,0,,with,1,ChangePasswordControllerTest,,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
85,,ForgotPasswordController,54,,public,false,Class,,379,1,0,,with,0.8888888888888888,ForgotPasswordControllerTest,1,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
86,,MyProfilePageController,54,,public,false,Class,,1403,6,0,,with,0.875,MyProfilePageControllerTest,5,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
87,,CommunitiesLoginController,54,,global,false,Class,,393,1,0,,with,1,CommunitiesLoginControllerTest,,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
88,,CommunitiesLandingController,54,,public,false,Class,,203,1,0,,with,1,CommunitiesLandingControllerTest,,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
89,,CommunitiesSelfRegConfirmController,54,,public,false,Class,,118,0,0,,with,1,CommunitiesSelfRegConfirmControllerTest,,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
90,,EoT_EndofTenancyPhaseTriggerHandler,58,,public,false,Class,,7032,2,0,,with,0.9594594594594594,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",34,2,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
91,,EoT_PrecedingTaskTriggerHandler,58,,public,false,Class,,3046,2,0,,with,1,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",10,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
92,,ITimelineDataProvider,54,,global,false,Interface,,394,9,0,,n/a,0,,1,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
93,,ReferencingUtilHL,56,,public,false,Enum,,11302,7,1,,n/a,0,,31,12,Dependencies,2024-03-14T11:57:12.000+0000,2024-06-21T07:10:12.000+0000
94,,ReferencingUtilHLAuthProvider,56,,public,false,Interface,,3055,7,2,,n/a,0,,,1,Dependencies,2024-03-14T11:57:12.000+0000,2024-03-14T11:57:12.000+0000
95,,AVM_UnitTriggerHandler,59,,public,false,Class,,4195,1,0,,with,0.9545454545454546,"AVM_UnitTriggerHandlerTest,Renewals_OpportunityCloneTest",10,2,Dependencies,2024-04-12T11:05:23.000+0000,2024-04-15T12:18:27.000+0000
96,,GDPR_Anonymizatable,59,,public,false,Interface,,449,3,0,,n/a,0,,1,5,Dependencies,2024-05-23T05:39:10.000+0000,2024-05-28T13:17:05.000+0000
